soundname	intervalname	F1	F2	F3	speaker
Y23Fv4	hud	779.0740996661	1410.1801609414	2635.2651539935	y23
Y23Fv4	hod	213.2661534043	1897.0040771115	3029.4694007416	y23
Y23Fv4	head	316.3235586737	1929.7637121481	2741.3245082985	y23
Y23Fv4	whod	299.0562142025	1751.0614677439	2427.461978312	y23
Y23Fv4	hoard	508.9115456201	1237.7065803346	2551.5437460175	y23
Y23Fv4	hid	447.5628926149	1868.6975087836	2736.8427075008	y23
Y23Fv4	had	580.1817389259	1974.1866047411	2825.730753272	y23
Y23Fv4	hard	885.8955379662	1388.5616450493	2559.9409323803	y23
Y23Fv4	heed	299.1713165187	2393.3710125278	3236.905358059	y23
Y23Fv4	herd	569.3177610665	1645.6971134969	2581.5551131875	y23
Y23Fv4	hod	602.608330002	1190.2816613787	2589.7043957082	y23
Y23Fv4	hood	466.1320388599	1614.3511789612	2703.1284774025	y23
Y23Fv5	heed	321.9448820408	2368.1930364416	3199.5625757319	y23
Y23Fv5	hid	205.912039201	1817.2524166081	2764.0228867348	y23
Y23Fv5	herd	573.553900784	1678.0105928598	2564.5507483595	y23
Y23Fv5	whod	374.3227484809	1776.5193382014	2435.676351342	y23
Y23Fv5	hoard	1349.1703648519	2566.1144720493	3692.6313264555	y23
Y23Fv5	hod	603.7979322025	1213.4958116231	2633.9419843341	y23
Y23Fv5	hard	722.252562046	1314.704226051	2669.4478577733	y23
Y23Fv5	had	638.6389395656	1897.6269756979	2728.8438411564	y23
Y23Fv5	head	393.2243993529	2307.898089416	2899.1435666822	y23
Y23Fv5	heed	315.2653807213	2444.6992786571	3055.1817388848	y23
Y23Fv5	hud	268.7405091965	1426.5255966373	2599.6809762797	y23
Y23Fv5	hood	334.6120545705	1542.4882351006	2574.4766671938	y23
Y23Fv5	herd	594.4484507102	1657.8588999645	2500.6198796912	y23
